CT1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filial;Cod Conta;Desc Moeda 1;Classe Conta;Cond Normal;Cod Reduzido;Cta Bloq;Dt Ini Bloq;Dt Fim Bloq;Dig Controle;Conv M2 Deb;Conv M3 Deb;Conv M4 Deb;Conv M5 Deb;Conv M2 Crd;Conv M3 Crd;Conv M4 Crd;Conv M5 Crd;Cta Superior;Hist Padrao;Aceita Item;Aceita CC;Aceita CLVL;Dt Ini Exist;Var Monet;Dt Fim Exist;Red Variacao;Lucr/Perd;Ponte LP;Conf. Livros;Grupo;Regra Nivel1;Regra Nivel2;Regra Nivel3;CC Obrigat.;Item Obrig.;CLVL Obrig.;Conta Lalur;Ajuste Conv;Class.Lalur;Hist.Lalur ?;Tipo Lalur;Cod. Rateio;Nat. Conta;Ac.Outra At?;Outr.At.Ob?;Class. Manad;SPED Sint.;Nat Cta SPED;Ativ.01 Ac.;Ativ.01 Ob.;Ativ.02 Ac.;Ativ.02 Ob.;Ativ.03 Ac.;Ativ.03 Ob.;Ativ.04 Ac.;Ativ.04 Ob.;Int. PIMS;Var Cambial?;Conta Orc.;Aceita Ent05;Obrg.Ent.05?
01;111102002;SANTANDER - C/C Nº 130017147;Analitica;Devedora;111102002;Nao Bloqueada;  /  /    ;  /  /    ;7;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111102002;;;Não;Nao pertence;;Conta de Ativo;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;111102003;RURAL - C/C Nº 06.004344-2;Analitica;Devedora;111102003;Nao Bloqueada;  /  /    ;  /  /    ;5;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111102003;;;Não;Nao pertence;;Conta de Ativo;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;111102004;ITAU - C/C Nº 3212.02434-7;Analitica;Devedora;111102004;Nao Bloqueada;  /  /    ;  /  /    ;3;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111102004;;;Não;Nao pertence;;Conta de Ativo;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;111102005;CITIBANK - C/C Nº 48001600;Analitica;Devedora;111102005;Nao Bloqueada;  /  /    ;  /  /    ;1;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111102005;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;111102006;SANTANDER - C/C Nº 130017051;Analitica;Devedora;111102006;Nao Bloqueada;  /  /    ;  /  /    ;0;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111102006;;;Não;Nao pertence;;Conta de Ativo;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;111102007;CITIBANK - C/C Nº 20775962;Analitica;Devedora;111102007;Nao Bloqueada;  /  /    ;  /  /    ;8;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111102007;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;111102008;CITIBANK - C/C Nº 24470333;Analitica;Devedora;111102008;Nao Bloqueada;  /  /    ;  /  /    ;6;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111102008;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;111102009;ITAU - C/C Nº 3212.09970-3;Analitica;Devedora;111102009;Nao Bloqueada;  /  /    ;  /  /    ;4;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111102009;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;111102010;ITAU - C/C Nº 3212.18331-7;Analitica;Devedora;111102010;Nao Bloqueada;  /  /    ;  /  /    ;8;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111102010;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;111102011;ITAU - C/C Nº3212.18005-7;Analitica;Devedora;111102011;Nao Bloqueada;  /  /    ;  /  /    ;6;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111102011;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;111102012;CAIXA ECONOMICA FEDERAL - C/C Nº4043.168;Analitica;Devedora;111102012;Nao Bloqueada;  /  /    ;  /  /    ;4;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111102012;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;111102013;ITAU - C/C Nº3212.19635-7;Analitica;Devedora;111102013;Nao Bloqueada;  /  /    ;  /  /    ;2;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111102013;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;Sim;;Sim;Nao
01;111102014;ITAU - C/C Nº21513-5 AG 3212;Analitica;Devedora;111102014;Nao Bloqueada;  /  /    ;  /  /    ;0;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Nao;Nao;Nao;111102014;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;Sim;;Sim;Nao
01;111102015;XP INVESTIMENTOS CC 2762909;Analitica;Devedora;3411020174;Nao Bloqueada;  /  /    ;  /  /    ;9;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Nao;Nao;Nao;;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;Sim;;Sim;Nao
01;111102016;ITAU - C/C 27772-1 AG 3212;Analitica;Devedora;3411020263;Nao Bloqueada;  /  /    ;  /  /    ;7;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;;;;Não;Nao pertence;;;Nao;Nao;;2;Conta de Ativo;;;;;;;;;Sim;Sim;;Sim;Nao
01;111102017;CAIXA ECONOMICA FEDERAL - C/C Nº4497 - 9;Analitica;Devedora;3411020270;Nao Bloqueada;  /  /    ;  /  /    ;5;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Nao;Nao;Nao;;;;Não;Nao pertence;;;Nao;Nao;;;Conta de Ativo;;;;;;;;;Sim;Sim;;Sim;Nao
01;111102018;ITAU - C/C 29200-1 AG 3212;Analitica;Devedora;3411020308;Nao Bloqueada;  /  /    ;  /  /    ;1;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Nao;Nao;Nao;111102018;;;Não;Nao pertence;;;Nao;Nao;;;Conta de Ativo;;;;;;;;;Sim;Sim;;Sim;Nao
01;111102019;BRADESCO - C/C Nº 034.7900-5;Analitica;Devedora;3411020331;Nao Bloqueada;  /  /    ;  /  /    ;8;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Nao;Nao;Nao;;;;Não;Nao pertence;;;Nao;Nao;;;Conta de Ativo;;;;;;;;;Sim;Sim;;Sim;Nao
01;111102020;ITAU  - C/C Nº 3212. 37330-6;Analitica;Devedora;3411020409;Nao Bloqueada;  /  /    ;  /  /    ;8;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Nao;Nao;Nao;;;;Não;Nao pertence;;;Nao;Nao;;;Conta de Ativo;;;;;;;;;Sim;Sim;;Sim;Nao
01;111102100;CHEQUE A COMPENSAR - ITAU - C/C Nº 3212.;Analitica;Credora;111102100;Nao Bloqueada;  /  /    ;  /  /    ;7;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111102100;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
